NAME,EMOTION
Amir_1.jpg,DISGUST
Amir_10.jpg,HAPPINESS
Amir_100.jpg,NEUTRAL
Amir_101.jpg,NEUTRAL
Amir_102.jpg,ANGER
Amir_103.jpg,DISGUST
Amir_104.jpg,DISGUST
Amir_105.jpg,DISGUST
Amir_106.jpg,DISGUST
Amir_107.jpg,DISGUST
Amir_108.jpg,HAPPINESS
Amir_109.jpg,DISGUST
Amir_11.jpg,HAPPINESS
Amir_110.jpg,DISGUST
Amir_111.jpg,DISGUST
Amir_112.jpg,DISGUST
Amir_113.jpg,DISGUST
Amir_114.jpg,DISGUST
Amir_115.jpg,DISGUST
Amir_116.jpg,DISGUST
Amir_117.jpg,DISGUST
Amir_118.jpg,DISGUST
Amir_119.jpg,DISGUST
Amir_12.jpg,DISGUST
Amir_120.jpg,HAPPINESS
Amir_121.jpg,DISGUST
Amir_122.jpg,DISGUST
Amir_123.jpg,DISGUST
Amir_124.jpg,DISGUST
Amir_125.jpg,DISGUST
Amir_126.jpg,DISGUST
Amir_127.jpg,DISGUST
Amir_128.jpg,DISGUST
Amir_129.jpg,DISGUST
Amir_13.jpg,HAPPINESS
Amir_130.jpg,DISGUST
Amir_131.jpg,DISGUST
Amir_132.jpg,DISGUST
Amir_133.jpg,DISGUST
Amir_134.jpg,HAPPINESS
Amir_135.jpg,HAPPINESS
Amir_136.jpg,HAPPINESS
Amir_137.jpg,HAPPINESS
Amir_139.jpg,SURPRISE
Amir_14.jpg,HAPPINESS
Amir_141.jpg,HAPPINESS
Amir_142.jpg,DISGUST
Amir_143.jpg,HAPPINESS
Amir_144.jpg,NEUTRAL
Amir_145.jpg,DISGUST
Amir_146.jpg,HAPPINESS
Amir_147.jpg,HAPPINESS
Amir_148.jpg,HAPPINESS
Amir_149.jpg,DISGUST
Amir_15.jpg,HAPPINESS
Amir_150.jpg,DISGUST
Amir_151.jpg,DISGUST
Amir_152.jpg,DISGUST
Amir_154.jpg,DISGUST
Amir_156.jpg,DISGUST
Amir_157.jpg,DISGUST
Amir_158.jpg,DISGUST
Amir_159.jpg,DISGUST
Amir_16.jpg,DISGUST
Amir_160.jpg,DISGUST
Amir_161.jpg,DISGUST
Amir_162.jpg,DISGUST
Amir_163.jpg,HAPPINESS
Amir_166.jpg,DISGUST
Amir_167.jpg,DISGUST
Amir_168.jpg,DISGUST
Amir_169.jpg,DISGUST
Amir_17.jpg,ANGER
Amir_170.jpg,DISGUST
Amir_171.jpg,DISGUST
Amir_172.jpg,DISGUST
Amir_173.jpg,HAPPINESS
Amir_174.jpg,DISGUST
Amir_175.jpg,DISGUST
Amir_178.jpg,DISGUST
Amir_179.jpg,DISGUST
Amir_18.jpg,DISGUST
Amir_180.jpg,DISGUST
Amir_181.jpg,DISGUST
Amir_182.jpg,DISGUST
Amir_184.jpg,DISGUST
Amir_185.jpg,DISGUST
Amir_188.jpg,DISGUST
Amir_19.jpg,DISGUST
Amir_190.jpg,DISGUST
Amir_191.jpg,DISGUST
Amir_192.jpg,DISGUST
Amir_194.jpg,DISGUST
Amir_196.jpg,DISGUST
Amir_197.jpg,DISGUST
Amir_198.jpg,ANGER
Amir_2.jpg,DISGUST
Amir_20.jpg,DISGUST
Amir_201.jpg,DISGUST
Amir_202.jpg,DISGUST
Amir_203.jpg,DISGUST
Amir_204.jpg,DISGUST
Amir_205.jpg,DISGUST
Amir_207.jpg,DISGUST
Amir_208.jpg,DISGUST
Amir_209.jpg,DISGUST
Amir_21.jpg,DISGUST
Amir_210.jpg,DISGUST
Amir_212.jpg,DISGUST
Amir_213.jpg,HAPPINESS
Amir_214.jpg,DISGUST
Amir_215.jpg,HAPPINESS
Amir_216.jpg,DISGUST
Amir_217.jpg,DISGUST
Amir_218.jpg,ANGER
Amir_219.jpg,HAPPINESS
Amir_22.jpg,DISGUST
Amir_220.jpg,DISGUST
Amir_222.jpg,DISGUST
Amir_224.jpg,DISGUST
Amir_225.jpg,DISGUST
Amir_226.jpg,DISGUST
Amir_227.jpg,DISGUST
Amir_228.jpg,DISGUST
Amir_23.jpg,DISGUST
Amir_230.jpg,DISGUST
Amir_231.jpg,DISGUST
Amir_232.jpg,DISGUST
Amir_233.jpg,DISGUST
Amir_234.jpg,DISGUST
Amir_237.jpg,DISGUST
Amir_238.jpg,HAPPINESS
Amir_239.jpg,NEUTRAL
Amir_24.jpg,DISGUST
Amir_240.jpg,DISGUST
Amir_241.jpg,DISGUST
Amir_242.jpg,DISGUST
Amir_243.jpg,DISGUST
Amir_244.jpg,DISGUST
Amir_245.jpg,DISGUST
Amir_246.jpg,DISGUST
Amir_247.jpg,DISGUST
Amir_248.jpg,DISGUST
Amir_249.jpg,DISGUST
Amir_25.jpg,DISGUST
Amir_250.jpg,HAPPINESS
Amir_251.jpg,DISGUST
Amir_252.jpg,DISGUST
Amir_253.jpg,DISGUST
Amir_255.jpg,HAPPINESS
Amir_256.jpg,DISGUST
Amir_257.jpg,HAPPINESS
Amir_259.jpg,DISGUST
Amir_26.jpg,HAPPINESS
Amir_260.jpg,DISGUST
Amir_261.jpg,DISGUST
Amir_262.jpg,DISGUST
Amir_263.jpg,DISGUST
Amir_264.jpg,DISGUST
